Название песни + исполнитель ,Отзыв,Ссылки,Depeche Mode Songs,Отзыв
Facts & Fiction - Give me the night ,"Интересное у тебя настроение было в тот момент)) КАждая песня вызывает подергивание хаха, ну в плане танцев. Они тоже для определенного времени",https://youtu.be/6TABd55ughg,,
Helpless ( The flirts) ,"Слушая очень часто, цепляет)",https://youtu.be/ACHMhqDoYgw,,
Michael Cretu - Samurai,"Заставляет переслушивать еще и еще, мне нравится",https://youtu.be/NqW_PD-A7hk,,
Sandra Maria Magdalena,Начало суперское..да и сама чудесная,https://youtu.be/qwrrpBc7xWA,,
Corona - The rhythm of the night ,"Тоже популярная) Встречаю очень часто, да и слушаю тоже",https://youtu.be/OnT58cIJSpw,,
Mr. Vain ,"Единственный минус этой песни, что ее слишком сильно начали использовать в соцсетях. Не надо.. вообще меня бесит, когда это делают. Вот с last day так же произошло. Она моя!!",https://youtu.be/V3qUoiwr5kQ,,
Vanilla Ice - Ice Ice baby,"Необычно, очень необычно.. Не думала, что ты такое любишь) Ну так, момент найти нужно хаха",https://youtu.be/rog8ou-ZepE,,
SNAP! - The power ,"хахахах, мне нравится))",https://youtu.be/nm6DO_7px1I,,
Milli Vanilli - Blame it on the rain ,Пока нет.. попробую позже,https://youtu.be/BI5IA8assfk,,
Righteous Brothers | Unchained Melody,"Ну конечно дааа, я обожаю ее.. Прошу больше таким песен, они невероятны!! Я хочу слушать их постоянно",https://youtu.be/MhAE3lQ_FHg,,
Armageddon - Don't want to miss a thing Aerosmith,"Без слов, она того стоит!",https://youtu.be/Jz8TZrGAoiU,,
PLAZMA - Take My Love ,"Not bad, not bad",https://youtu.be/tfCBoVy6vWM,,
Haddaway - What is love ,"А вот эта песня уже моего детства, я кажется тебе говорила. Меня тогда две девочки оставили и чтобы не грустить я слушала ее каждый день)",https://youtu.be/z3mzvJiUZao,,
Gotye - Somebody that I used to know,До безумия красивая!!!,https://youtu.be/8UVNT4wvIGY,,
LondonBeat - I've been thinking about you ,"Есть тут что то, попробую еще в наушниках или соседей позволю, чтобы не расслаблялись",https://youtu.be/bDwI_cJ7Eds,,
DEF LEPPARD - Pour some sugar on me ,"ойойойой, это супер круто!",https://youtu.be/0UIB9Y4OFPs,,
2CELLOS - Thunderstruck,"А.. у меня слов нету, это что за шедевр, закройте мне кто нибудь рот.. Это же виолончель, верно?",https://youtu.be/uT3SBzmDxGk,,
AC/DC - You shook me all night long ,"Заинерисовали, я посушаю что то еще в этой группы",https://youtu.be/Lo2qQmj0_h4,,
Bon Jovi - Always ,Я сделаю так.. и станет понятно,https://youtu.be/9BMwcO6_hyA,,
Aerosmith - Crazy ,"Мои любимые пошли, слушаю каждый день, абсолютно каждый день! Эту и все те, что ниже. Боже как я ее люблю, crazy",https://youtu.be/NMNgbISmF4I,,
Aerosmith - Pink,"  Я коментировала ее чуть выше, повторилась",-,,
Aerosmith - Hole in my soul,"Если я не ошибаюсь, то эта твоя любимая)) У тебя чудесный вкус))) хех",https://youtu.be/HaC0s-FP-r4,,
Aerosmith - Amazing,Я просто уже не могу жить без них..,https://youtu.be/zSmOvYzSeaQ,,
Depeche mode - Goodnight Lovers ,"Мне очень сложно себя сдерживать... ПОТОМУ ЧТО НЕЗАКОННО ТАКОЕ ДЕЛАТЬ, АААААААА ТЫ ЖЕ ТОЖЕ ЭТО СЛЫШИШЬ, вот бы только мы вдвоем слушали ее и больше никто",https://youtu.be/jmY_MiJ1hAY,,
Владимир Кузьмин - Симона ,Я как будто смотрю детектив.. Ухты,https://youtu.be/JibFwyaIjbE,,
Электронный мальчик - Девушка с Урала ,"Я очень редко слушала русские песни, были только англ. Это было ошибкой",https://youtu.be/tArFyWONhSI,,
